x_Br,z_Ge,composition,Eg_eV,Ehull_proxy_eV_atom,Eox_proxy_eV_per_Sn,tolerance_factor,S_gap_single,S_hull,S_ox,S_strain,Score_single,Score_tandem,Rank_single,Rank_tandem,P_top1_single,P_top5_single,P_top10_single,P_top20_single,mean_rank_single,P_top1_tandem,P_top5_tandem,P_top10_tandem,P_top20_tandem,mean_rank_tandem,P_top1_descriptor_stress,P_top10_descriptor_stress,mean_rank_descriptor_stress
0.85,0.1,CsSn0.90Ge0.10(I0.15Br0.85)3,1.7521749999999998,0.01024446,-1.278701,0.8753579954899577,0.022930347810001302,0.71071626039741,0.30641894870374914,0.9944440627888504,0.26546099497316505,0.6719392390135568,168,105,0.0,0.0,0.0,0.0,172.3671,0.0,0.0,0.0,0.0061,119.8859,0.0,0.0,170.062
0.9,0.1,CsSn0.90Ge0.10(I0.10Br0.90)3,1.7818,0.010222240000000002,-1.281174,0.876005323021744,0.013069235807989577,0.711242859233973,0.3049071423624738,0.994539749434782,0.2304169714780568,0.6566102312015258,177,115,0.0,0.0,0.0,0.0,182.2638,0.0,0.0,0.0,0.0062,127.8769,0.0,0.0,180.3714
0.95,0.1,CsSn0.90Ge0.10(I0.05Br0.95)3,1.8120749999999999,0.010200019999999997,-1.2836470000000002,0.8766576508305698,0.007066930767657633,0.7117698482492194,0.3034027949542153,0.9946353412720798,0.19738469356547572,0.6348917956348504,188,129,0.0,0.0,0.0,0.0,191.9571,0.0,0.0,0.0,0.003,138.8103,0.0,0.0,190.5762
1.0,0.1,CsSn0.90Ge0.10(I0.00Br1.00)3,1.843,0.010177799999999999,-1.28612,0.8773150370779782,0.0036158720473195,0.7122972277322484,0.30190586967817473,0.994730827214233,0.16676805377783102,0.6070456216542204,197,150,0.0,0.0,0.0,0.0,200.8212,0.0,0.0,0.0,0.0003,151.6885,0.0,0.0,199.8362
0.0,0.15,CsSn0.85Ge0.15I3,1.367,0.0100333,-1.16799,0.8709420882237324,0.9839305142725084,0.7157364020748864,0.3823648582154185,0.9937693381648323,0.7192341082486672,0.3900156659015204,21,217,0.0096,0.1382,0.3366,0.7592,34.6461,0.0,0.0,0.0,0.0,209.0312,0.0,0.5432,23.5172
0.05,0.15,CsSn0.85Ge0.15(I0.95Br0.05)3,1.3864499999999997,0.01001247,-1.1703245,0.871537762722883,0.9531845692803752,0.716233534284487,0.38058375790668075,0.9938625886479531,0.7128564143650612,0.41783224229951793,25,212,0.0,0.098,0.3175,0.7374,36.141,0.0,0.0,0.0,0.0,202.8777,0.0,0.433,25.9876
0.1,0.15,CsSn0.85Ge0.15(I0.90Br0.10)3,1.40655,0.009991639999999998,-1.1726590000000001,0.8721377845499884,0.9062681408213523,0.7167310117894129,0.3788109541718607,0.9939558154264538,0.703235245905016,0.44670189352949347,28,205,0.0,0.0094,0.2667,0.6995,39.1519,0.0,0.0,0.0,0.0,195.6819,0.0,0.227,29.1974
0.15,0.15,CsSn0.85Ge0.15(I0.85Br0.15)3,1.4273,0.009970809999999998,-1.1749935,0.8727422014705931,0.8442032464902448,0.7172288348294974,0.3770464083645454,0.994049010270814,0.6902029976324185,0.4763656605674011,34,198,0.0,0.0,0.0504,0.6677,43.4514,0.0,0.0,0.0,0.0,187.5342,0.0,0.0022,34.0948
0.2,0.15,CsSn0.85Ge0.15(I0.80Br0.20)3,1.4487,0.00994998,-1.177328,0.8733510619525684,0.7690718437876597,0.7177270036447405,0.37529008201834074,0.9941421647114652,0.6736517539390531,0.5064944123963786,41,189,0.0,0.0,0.0,0.5931,49.1291,0.0,0.0,0.0,0.0,178.5105,0.0,0.0,41.277
0.25,0.15,CsSn0.85Ge0.15(I0.75Br0.25)3,1.47075,0.00992915,-1.1796625,0.8739644151790686,0.6839288488708598,0.7182255184753087,0.3735419368460337,0.9942352700321626,0.6535443607517719,0.5366845075036637,50,180,0.0,0.0,0.0,0.184,56.3251,0.0,0.0,0.0,0.0,168.6934,0.0,0.0,50.7084
0.3,0.15,CsSn0.85Ge0.15(I0.70Br0.30)3,1.49345,0.009908319999999998,-1.181997,0.8745823110617751,0.592582900087888,0.7187243795615355,0.3718019347387581,0.9943283172631602,0.6299241174869107,0.5664559751602947,63,170,0.0,0.0,0.0,0.0,64.9038,0.0,0.0,0.0,0.0,158.2465,0.0,0.0,61.9042
0.35,0.15,CsSn0.85Ge0.15(I0.65Br0.35)3,1.5168000000000001,0.009887489999999999,-1.1843314999999999,0.8752048002544351,0.4992603601094717,0.7192235871439211,0.3700700377651628,0.9944212971741838,0.602922286080829,0.5952540621486919,75,155,0.0,0.0,0.0,0.0,74.5031,0.0,0.0,0.0,0.0,147.4012,0.0,0.0,73.66
0.4,0.15,CsSn0.85Ge0.15(I0.60Br0.40)3,1.5408000000000002,0.009866659999999998,-1.186666,0.8758319341667046,0.4081933898195395,0.719723141463133,0.3683462081705853,0.994514200267196,0.5727626063255359,0.6224549966968199,85,139,0.0,0.0,0.0,0.0,84.7008,0.0,0.0,0.0,0.0,136.5117,0.0,0.0,84.82
