x_Br,z_Ge,Eg_eV,Ehull_proxy_eV_atom,Eox_proxy_eV_Sn,t,SJ_score,Tandem_score,pareto_single,pareto_tandem
0.9,0.15,1.8165499999999999,0.009658330599999999,-1.2100004400000004,0.8823706127901887,0.20096422600522007,0.6580802682749849,False,False
0.9,0.2,1.8513,0.009094440799999999,-1.1388339200000002,0.8888290834433376,0.1729335274904757,0.6507381191230714,False,False
0.9,0.25,1.8860500000000002,0.008530550999999999,-1.0676674000000002,0.8953827961673995,0.14682656305040562,0.6348901850582844,False,False
0.9,0.3,1.9208,0.007966661199999999,-0.9965008800000003,0.9020338733921491,0.12299704224852916,0.6111609275208633,False,False
0.9,0.35,1.95555,0.0074027714,-0.9253343600000002,0.9087845010825942,0.10165971861263313,0.5804659505816163,False,False
0.9,0.4,1.9902999999999997,0.006838881599999999,-0.8541678400000001,0.9156369311343228,0.08290236457604175,0.5439534019287086,False,False
0.9,0.45,2.0250500000000002,0.006274991799999999,-0.7830013200000002,0.9225934838780413,0.06670344604084713,0.5029328269582967,False,False
0.9,0.5,2.0598,0.005711101999999999,-0.7118348000000002,0.9296565506991559,0.05295323555901256,0.45879761005080527,True,True
0.95,0.0,1.740825,0.011325,-1.42625,0.8641419166023416,0.25711425023531076,0.6219256423646248,False,False
0.95,0.05,1.77645,0.0107624991,-1.3549445900000001,0.8703547918615052,0.22687679975643696,0.632833362946545,False,False
0.95,0.1,1.8120749999999999,0.010199998200000001,-1.28363918,0.8766576508305698,0.197388955475995,0.6349055041548656,False,False
0.95,0.15,1.8477,0.0096374973,-1.21233377,0.8830524626780941,0.16932617217960932,0.6280544507580108,False,False
0.95,0.2,1.883325,0.0090749964,-1.14102836,0.8895412544515288,0.143216632119059,0.6125670426795933,False,False
0.95,0.25,1.9189500000000002,0.0085124955,-1.06972295,0.8961261132194706,0.11943471395456624,0.5890846522675046,False,False
0.95,0.3,1.9545750000000002,0.007949994600000001,-0.99841754,0.9028091883097716,0.09820532834291902,0.5585591234205635,False,False
0.95,0.35,1.9902000000000002,0.007387493700000001,-0.92711213,0.9095926936485492,0.07961712357399456,0.5221887904323312,False,False
0.95,0.4,2.0258249999999998,0.0068249928,-0.85580672,0.9164789102054445,0.06364209100133289,0.4813405672789722,False,False
0.95,0.45,2.0614500000000002,0.0062624919,-0.78450131,0.9234701885507987,0.05015895451989772,0.43746515337753045,False,False
