application,x_Br,z_Ge,top10_fraction,top1_fraction,mean_rank
tandem-top-cell,0.3,0.15,0.0,0.0,161.3458
tandem-top-cell,0.35,0.15,0.0,0.0,147.7743
tandem-top-cell,0.4,0.15,0.0,0.0,133.6117
tandem-top-cell,0.45,0.15,0.0,0.0,119.6677
tandem-top-cell,0.5,0.15,0.0,0.0,106.9407
tandem-top-cell,0.55,0.15,0.0,0.0,96.2902
tandem-top-cell,0.6,0.15,0.0,0.0,88.266
tandem-top-cell,0.65,0.15,0.0,0.0,83.5434
tandem-top-cell,0.7,0.15,0.0,0.0,82.6802
tandem-top-cell,0.75,0.15,0.0,0.0,86.0205
tandem-top-cell,0.8,0.15,0.0,0.0,94.0143
tandem-top-cell,0.85,0.15,0.0,0.0,106.6901
tandem-top-cell,0.9,0.15,0.0,0.0,123.4226
tandem-top-cell,0.95,0.15,0.0,0.0,142.9353
tandem-top-cell,1.0,0.15,0.0,0.0,162.9967
tandem-top-cell,0.0,0.2,0.0,0.0,204.1149
tandem-top-cell,0.05,0.2,0.0,0.0,196.7144
tandem-top-cell,0.1,0.2,0.0,0.0,187.8057
tandem-top-cell,0.15,0.2,0.0,0.0,177.2691
tandem-top-cell,0.2,0.2,0.0,0.0,164.8919
tandem-top-cell,0.25,0.2,0.0,0.0,150.6879
tandem-top-cell,0.3,0.2,0.0,0.0,135.2061
tandem-top-cell,0.35,0.2,0.0,0.0,119.3199
tandem-top-cell,0.4,0.2,0.0,0.0,104.2086
tandem-top-cell,0.45,0.2,0.0,0.0,90.8943
tandem-top-cell,0.5,0.2,0.0,0.0,80.1941
tandem-top-cell,0.55,0.2,0.0,0.0,72.2895
tandem-top-cell,0.6,0.2,0.0,0.0,67.6745
tandem-top-cell,0.65,0.2,0.0,0.0,66.7509
tandem-top-cell,0.7,0.2,0.0,0.0,69.8217
tandem-top-cell,0.75,0.2,0.0,0.0,77.3856
tandem-top-cell,0.8,0.2,0.0,0.0,89.8803
tandem-top-cell,0.85,0.2,0.0,0.0,107.2294
tandem-top-cell,0.9,0.2,0.0,0.0,128.3625
tandem-top-cell,0.95,0.2,0.0,0.0,151.0887
tandem-top-cell,1.0,0.2,0.0,0.0,172.3104
tandem-top-cell,0.0,0.25,0.0,0.0,191.0531
tandem-top-cell,0.05,0.25,0.0,0.0,181.2133
tandem-top-cell,0.1,0.25,0.0,0.0,169.32
tandem-top-cell,0.15,0.25,0.0,0.0,155.198
tandem-top-cell,0.2,0.25,0.0,0.0,139.0262
tandem-top-cell,0.25,0.25,0.0,0.0,121.6198
tandem-top-cell,0.3,0.25,0.0,0.0,104.3044
tandem-top-cell,0.35,0.25,0.0,0.0,88.4425
tandem-top-cell,0.4,0.25,0.0,0.0,75.0148
tandem-top-cell,0.45,0.25,0.0002,0.0,64.5996
tandem-top-cell,0.5,0.25,0.0009,0.0,57.1902
tandem-top-cell,0.55,0.25,0.0008,0.0,52.8269
tandem-top-cell,0.6,0.25,0.0002,0.0,51.8833
tandem-top-cell,0.65,0.25,0.0,0.0,54.6145
tandem-top-cell,0.7,0.25,0.0,0.0,61.4165
tandem-top-cell,0.75,0.25,0.0,0.0,73.0394
tandem-top-cell,0.8,0.25,0.0,0.0,90.2174
tandem-top-cell,0.85,0.25,0.0,0.0,112.2036
tandem-top-cell,0.9,0.25,0.0,0.0,137.115
tandem-top-cell,0.95,0.25,0.0,0.0,161.6964
tandem-top-cell,1.0,0.25,0.0,0.0,182.6521
tandem-top-cell,0.0,0.3,0.0,0.0,173.823
tandem-top-cell,0.05,0.3,0.0,0.0,160.436
tandem-top-cell,0.1,0.3,0.0,0.0,144.3724
tandem-top-cell,0.15,0.3,0.0,0.0,126.107
tandem-top-cell,0.2,0.3,0.0,0.0,107.0186
tandem-top-cell,0.25,0.3,0.0,0.0,88.9151
tandem-top-cell,0.3,0.3,0.0,0.0,73.1294
tandem-top-cell,0.35,0.3,0.001,0.0,60.2205
tandem-top-cell,0.4,0.3,0.0098,0.0,50.4086
tandem-top-cell,0.45,0.3,0.0359,0.0,43.4896
tandem-top-cell,0.5,0.3,0.0647,0.0,39.3851
tandem-top-cell,0.55,0.3,0.0618,0.0,38.3488
tandem-top-cell,0.6,0.3,0.0307,0.0,40.7101
tandem-top-cell,0.65,0.3,0.0071,0.0,46.6861
tandem-top-cell,0.7,0.3,0.0013,0.0,57.0566
tandem-top-cell,0.75,0.3,0.0,0.0,72.9579
tandem-top-cell,0.8,0.3,0.0,0.0,94.8305
tandem-top-cell,0.85,0.3,0.0,0.0,121.1009
tandem-top-cell,0.9,0.3,0.0,0.0,148.7114
tandem-top-cell,0.95,0.3,0.0,0.0,173.5022
tandem-top-cell,1.0,0.3,0.0,0.0,193.1507
tandem-top-cell,0.0,0.35,0.0,0.0,150.2593
tandem-top-cell,0.05,0.35,0.0,0.0,132.2321
tandem-top-cell,0.1,0.35,0.0,0.0,112.1631
tandem-top-cell,0.15,0.35,0.0,0.0,92.2281
tandem-top-cell,0.2,0.35,0.0,0.0,74.2751
tandem-top-cell,0.25,0.35,0.0001,0.0,59.3262
tandem-top-cell,0.3,0.35,0.0096,0.0,47.3254
tandem-top-cell,0.35,0.35,0.0715,0.0,38.1686
tandem-top-cell,0.4,0.35,0.2114,0.0002,31.6034
tandem-top-cell,0.45,0.35,0.3468,0.0004,27.5591
tandem-top-cell,0.5,0.35,0.3828,0.0002,26.3404
tandem-top-cell,0.55,0.35,0.2936,0.0,28.256
tandem-top-cell,0.6,0.35,0.1453,0.0,33.4816
tandem-top-cell,0.65,0.35,0.036,0.0,42.5557
tandem-top-cell,0.7,0.35,0.0046,0.0,56.5991
tandem-top-cell,0.75,0.35,0.0003,0.0,76.9241
tandem-top-cell,0.8,0.35,0.0,0.0,103.4903
tandem-top-cell,0.85,0.35,0.0,0.0,133.2426
