x_Br,z_Ge,composition,P_top1_descriptor_stress,P_top10_descriptor_stress,mean_rank_descriptor_stress
0.6,0.45,CsSn0.55Ge0.45(I0.40Br0.60)3,0.0,0.0,168.137
0.65,0.45,CsSn0.55Ge0.45(I0.35Br0.65)3,0.0,0.0,179.9736
0.7,0.45,CsSn0.55Ge0.45(I0.30Br0.70)3,0.0,0.0,191.0902
0.75,0.45,CsSn0.55Ge0.45(I0.25Br0.75)3,0.0,0.0,201.1654
0.8,0.45,CsSn0.55Ge0.45(I0.20Br0.80)3,0.0,0.0,209.8568
0.85,0.45,CsSn0.55Ge0.45(I0.15Br0.85)3,0.0,0.0,217.0324
0.9,0.45,CsSn0.55Ge0.45(I0.10Br0.90)3,0.0,0.0,222.7244
0.95,0.45,CsSn0.55Ge0.45(I0.05Br0.95)3,0.0,0.0,226.998
1.0,0.45,CsSn0.55Ge0.45(I0.00Br1.00)3,0.0,0.0,229.9574
0.0,0.5,CsSn0.50Ge0.50I3,0.694,1.0,2.0004
0.05,0.5,CsSn0.50Ge0.50(I0.95Br0.05)3,0.0,0.9872,7.7458
0.1,0.5,CsSn0.50Ge0.50(I0.90Br0.10)3,0.0,0.7828,18.1924
0.15,0.5,CsSn0.50Ge0.50(I0.85Br0.15)3,0.0,0.307,34.1072
0.2,0.5,CsSn0.50Ge0.50(I0.80Br0.20)3,0.0,0.0178,54.1614
0.25,0.5,CsSn0.50Ge0.50(I0.75Br0.25)3,0.0,0.0,75.133
0.3,0.5,CsSn0.50Ge0.50(I0.70Br0.30)3,0.0,0.0,93.7574
0.35,0.5,CsSn0.50Ge0.50(I0.65Br0.35)3,0.0,0.0,109.653
0.4,0.5,CsSn0.50Ge0.50(I0.60Br0.40)3,0.0,0.0,124.0392
0.45,0.5,CsSn0.50Ge0.50(I0.55Br0.45)3,0.0,0.0,137.6038
0.5,0.5,CsSn0.50Ge0.50(I0.50Br0.50)3,0.0,0.0,150.6746
0.55,0.5,CsSn0.50Ge0.50(I0.45Br0.55)3,0.0,0.0,163.3258
0.6,0.5,CsSn0.50Ge0.50(I0.40Br0.60)3,0.0,0.0,175.5432
0.65,0.5,CsSn0.50Ge0.50(I0.35Br0.65)3,0.0,0.0,187.1382
0.7,0.5,CsSn0.50Ge0.50(I0.30Br0.70)3,0.0,0.0,197.7296
0.75,0.5,CsSn0.50Ge0.50(I0.25Br0.75)3,0.0,0.0,206.988
0.8,0.5,CsSn0.50Ge0.50(I0.20Br0.80)3,0.0,0.0,214.7622
0.85,0.5,CsSn0.50Ge0.50(I0.15Br0.85)3,0.0,0.0,220.9784
0.9,0.5,CsSn0.50Ge0.50(I0.10Br0.90)3,0.0,0.0,225.7082
0.95,0.5,CsSn0.50Ge0.50(I0.05Br0.95)3,0.0,0.0,229.0146
1.0,0.5,CsSn0.50Ge0.50(I0.00Br1.00)3,0.0,0.0,231.0
